ID,Issue Title,Issue URL,PR URL
1,"AWS Inspector report High CWE-117,93 - Log injection lambda python code",https://github.com/aws-ia/terraform-aws-control_tower_account_factory/issues/488?utm_source=chatgpt.com,https://github.com/aws-ia/terraform-aws-control_tower_account_factory/issues/488?utm_source=chatgpt.com
2,Add default message escaping for Log4J2 configuration to help prevent log injection attacks,https://issues.apache.org/jira/browse/KARAF-7061#:~:text=Created%3A%2005%2FMar%2F21%2010%3A18,https://github.com/apache/karaf/pull/1318/commits/bac366abbc27e9961476d303e54fa17820fee765
3,Password configs are logged in plaintext in KRaft,https://issues.apache.org/jira/browse/KAFKA-14115#:~:text=Created%3A%2027%2FJul%2F22%2016%3A16,https://github.com/apache/kafka/pull/12481
4,Hadoop prints sensitive Cookie information.,"https://issues.apache.org/jira/browse/HADOOP-17510#:~:text=org.apache.hadoop.security.authentication.client.AuthenticatedURL.AuthCookieHand%20ler%23setAuthCookie%20,which%20needs%20to%20be%20avaided",https://github.com/apache/hadoop/pull/2673
5,Redact sensitive information in Spark Thrift Server log,https://issues.apache.org/jira/browse/SPARK-36398#:~:text=Created%3A%2003%2FAug%2F21%2022%3A04,https://github.com/apache/spark/pull/33743/commits/a7218c7abe1b1f6db0259de024f717a21693a122+https://github.com/apache/spark/pull/33832/commits/4a86a75704dfedc3541c89344af6b4b2a43e16e6
6,HiveClientImpl may be log sensitive information,https://issues.apache.org/jira/browse/SPARK-29247?page=com.atlassian.jira.plugin.system.issuetabpanels%3Aall-tabpanel,https://github.com/apache/spark/pull/25954/commits/6aa0819fecae338063814945ea86df94b76513d8+https://github.com/apache/spark/pull/25954/commits/8ac5e73ec9d5ffa3707520b40d2cd66d71f37547+https://github.com/apache/spark/pull/25954/commits/b056622068a300c44340fd02b3773fda81a52f73
7,Hide sensitive command-line configurations,https://issues.apache.org/jira/browse/FLINK-19523#:~:text=Created%3A%2007%2FOct%2F20%2020%3A29,https://github.com/apache/flink/pull/13609/commits/c8c5eee65fdcb15353189eb29cad3ec5bd767c29
8,Table API exceptions may leak sensitive configuration values,https://issues.apache.org/jira/browse/FLINK-24381?page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel&focusedCommentId=17433696,https://github.com/apache/flink/pull/17555/commits/cd2d4721466fb277298c3842bb27e29244b44437+https://github.com/apache/flink/pull/17555/commits/907d080f302fcd5851afb178e981a122de09bbb5+https://github.com/apache/flink/pull/17555/commits/08ace1b29f43e1b260e04a4d76bc1dbf270ad402
9,getTGT() in Login.java mishandles confidential information,https://issues.apache.org/jira/browse/ZOOKEEPER-2405,https://issues.apache.org/jira/browse/ZOOKEEPER-2405
10,mod_dav_svn displays real path to repository when empty,https://issues.apache.org/jira/browse/SVN-1051,https://issues.apache.org/jira/secure/attachment/12762766/1_r7930.patch
11,KafkaSource not working,https://issues.apache.org/jira/browse/FLINK-2585,https://issues.apache.org/jira/browse/FLINK-2585
12,getTGT() debug logging exposes confidential information,https://issues.apache.org/jira/browse/KAFKA-3830,https://github.com/apache/kafka/pull/1498/commits/aac856f5a3a64123f798788b31707521e9157519
13,[Broker-J] Do not expose private information to exception message,https://issues.apache.org/jira/browse/QPID-8460,https://github.com/apache/qpid-broker-j/pull/55/commits/772a9b6fabb2b17969ab2922e3bd2bceb74730bf+https://github.com/apache/qpid-broker-j/pull/55/commits/8c1e2e3eea45c817c823614a2dddeccbe43b5640
14,Test Relocatable Savepoints+Make savepoints self-contained and relocatable,https://issues.apache.org/jira/browse/FLINK-18091+https://issues.apache.org/jira/browse/FLINK-5763,https://github.com/apache/flink/pull/3345
15,Event values should not be included in log messages+Remove key and value from exception message,https://issues.apache.org/jira/browse/KAFKA-6804+https://issues.apache.org/jira/browse/KAFKA-8501,https://github.com/apache/kafka/blob/trunk/streams/src/main/java/org/apache/kafka/streams/processor/internals/RecordCollectorImpl.java#L185-L196+https://github.com/apache/kafka/pull/6904/commits/8e72d55651496eb5eea98a1a92b53ef64cd9dba0+https://github.com/apache/kafka/blob/trunk/streams/src/main/java/org/apache/kafka/streams/processor/internals/RecordCollectorImpl.java#L243-L254
16,"Silence ERROR logs from CalciteException, SqlValidatorException",https://issues.apache.org/jira/browse/CALCITE-2463,https://github.com/apache/calcite/pull/797
17,KStreams RecordCollectorImpl leaks data to logs on error,https://issues.apache.org/jira/browse/KAFKA-7510,https://github.com/apache/kafka/pull/5834
18,Remove logging of predicate filters+Hive returns wrong result when predicates on non-existing columns are pushed down to Parquet reader,https://issues.apache.org/jira/browse/HIVE-17052+https://issues.apache.org/jira/browse/HIVE-16869,https://issues.apache.org/jira/secure/attachment/12872361/HIVE-16869.2.patch+https://issues.apache.org/jira/secure/attachment/12875915/HIVE-17052.1.patch
19,Security: passwords logging and file permisions+Sqlline start command with password appears in the sqlline.log,https://issues.apache.org/jira/browse/DRILL-6189+https://issues.apache.org/jira/browse/DRILL-6250,https://github.com/apache/drill/pull/1139+https://github.com/apache/drill/pull/1174
20,Kafka logs values of sensitive configs like passwords,https://issues.apache.org/jira/browse/KAFKA-4056,https://github.com/apache/kafka/pull/1759
21,Use individual user credentials for data source authentication+Don't persist authentication info into note.json,https://issues.apache.org/jira/browse/ZEPPELIN-828+https://issues.apache.org/jira/browse/ZEPPELIN-835,https://github.com/apache/zeppelin/pull/904
22,ReconfigurableBase can log sensitive information + Update HttpFS to use ConfigRedactor,https://issues.apache.org/jira/browse/HADOOP-13494+https://issues.apache.org/jira/browse/HDFS-11080,https://issues.apache.org/jira/browse/HADOOP-13494+https://issues.apache.org/jira/browse/HDFS-11080
23,listAPIs are taking too long to return results + private keys get logged when UpdateCustomCertificate gets called,https://issues.apache.org/jira/browse/CLOUDSTACK-8485+https://issues.apache.org/jira/browse/CLOUDSTACK-9023,https://github.com/apache/cloudstack/commit/e13df96348c60694849f91d0c025cb349aea124e
24,Hive query plan returns sensitive data to external applications,https://issues.apache.org/jira/browse/HIVE-9994,https://issues.apache.org/jira/browse/HIVE-9994
25,Dumping sensitive information in the debug log,https://issues.apache.org/jira/browse/BROOKLYN-10,https://github.com/apache/incubator-brooklyn/pull/546
26,Password obfuscation for DCL audit log statements,https://issues.apache.org/jira/browse/CASSANDRA-16669,https://github.com/apache/cassandra/commit/f978bea272409109e312a27a121f849879650bdb
27,Improve UserGroupInformation debug log,https://issues.apache.org/jira/browse/HADOOP-18958,https://github.com/apache/hadoop/pull/6234
28,Incorrect username logging in AMQ601264 events,https://issues.apache.org/jira/browse/ARTEMIS-4405,https://github.com/apache/activemq-artemis/pull/4594
29,Do not log sensitive query parameters when route cannot be created,https://issues.apache.org/jira/browse/CAMEL-19676,https://github.com/apache/camel/pull/10889
30,Avoid exposing sensitive infomation through a Hive Runtime exception,https://issues.apache.org/jira/browse/HIVE-20644,https://github.com/apache/hive/pull/439
31,Refactor ArgumentRedactor and add tests for ssl-*store-password props,https://issues.apache.org/jira/browse/GEODE-9354,https://github.com/apache/geode/pull/6641
32,Add request parameter to the TooSlow/TooLarge warn message of RpcServer,https://issues.apache.org/jira/browse/HBASE-14443,https://issues.apache.org/jira/browse/HBASE-14443
33,Debug Log level logs sensitive information,https://issues.apache.org/jira/browse/HTTPCLIENT-2138,https://github.com/apache/httpcomponents-client/blob/rel/v4.5.11/httpclient/src/main/java/org/apache/http/impl/conn/LoggingManagedHttpClientConnection.java#L135
34,Basic auth extension should have logging,https://issues.apache.org/jira/browse/KAFKA-9767,https://github.com/apache/kafka/pull/8357
35,Enhance RecordCollectorImpl exceptions with more context information,https://issues.apache.org/jira/browse/KAFKA-7015,https://github.com/apache/kafka/pull/5224
36,[CamelKafkaConnect] Add config option to enable/disable payload logging,https://issues.apache.org/jira/browse/CAMEL-15018,https://github.com/apache/camel-kafka-connector/pull/193
37,StringUtils: Add method for masking strings,https://issues.apache.org/jira/browse/LANG-1400,https://github.com/apache/commons-lang/pull/332+https://github.com/apache/commons-lang/pull/335
38,Camel-exec: option to hide sensitive information in log,https://issues.apache.org/jira/browse/CAMEL-14150,https://github.com/apache/camel/pull/3325
39,Add mask option to log EIP and log component,https://issues.apache.org/jira/browse/CAMEL-10885,https://github.com/apache/camel/pull/1561+https://github.com/apache/camel/pull/1586
40,Redact Passwords While Using Option logConf=true,https://issues.apache.org/jira/browse/SPARK-27244,https://github.com/apache/spark/pull/24196+https://github.com/apache/spark/pull/24257
41,HttpOperationFailedException exposes password when using basic auth with user:password@host notation,https://issues.apache.org/jira/browse/CAMEL-12480,https://github.com/apache/camel/pull/2317
42,Remove System Information Leak in Authentication.java,https://issues.apache.org/jira/browse/ZEPPELIN-2733,https://github.com/apache/zeppelin/pull/2468
43,Avoid logging private key in logs,https://issues.apache.org/jira/browse/WHIRR-499,https://issues.apache.org/jira/secure/attachment/12542460/WHIRR-499.patch
44,add ability to modify log of response before logging in LoggingOutInterceptor + add ability to modify log of response before logging in LoggingInInterceptor,https://issues.apache.org/jira/browse/CXF-1887 + https://issues.apache.org/jira/browse/CXF-2177,https://issues.apache.org/jira/secure/attachment/12405769/LoggingInInterceptor.patch
45,Add latency metrics for dropped messages,https://issues.apache.org/jira/browse/CASSANDRA-10580,https://issues.apache.org/jira/secure/attachment/12778155/2.2-All-Comments.patch
46,"Even if the correct username and password are configured, when ClientBroker or KafkaClient tries to establish a SASL connection to ServerBroker, an exception is thrown: (Authentication failed: Invalid username or password)",https://issues.apache.org/jira/browse/KAFKA-13422,https://github.com/apache/kafka/pull/11461
47,Audit logging logs to little information + Expose AMQP Message through Audit Logger,https://issues.apache.org/jira/browse/ARTEMIS-3244 + https://issues.apache.org/jira/browse/ARTEMIS-3245 + https://issues.apache.org/jira/browse/ARTEMIS-2887,https://github.com/apache/activemq-artemis/commit/c3887ed7104efa2af2ce95794b43abde558e4b80+https://github.com/apache/activemq-artemis/pull/3247
48,System Information Leak in ftp parser,https://issues.apache.org/jira/browse/NET-618,https://issues.apache.org/jira/browse/NET-618
49,Credentials are being leaked to logs,https://github.com/codecentric/spring-boot-admin/issues/590,https://github.com/codecentric/spring-boot-admin/commit/cf2a9eee0eba51021d31df56b388220cf245086f+https://github.com/codecentric/spring-boot-admin/commit/e15d7d2dc81176429f7e6712e856c6aab73f6dc9+https://github.com/codecentric/spring-boot-admin/commit/7f2b16d1ee94d63d4417d7ea707c2acb1628bb72
50,Provisioned admin credentials are leaked into the system log ,https://github.com/oddlama/kanidm-provision/security/advisories/ghsa-57fc-pcqm-53rp,https://github.com/oddlama/kanidm-provision/commit/a102b52e4a79be4263068577ba837f16c3e487a2
51,Metadata and potential password leaks via --log=,https://github.com/aria2/aria2/issues/1329,https://github.com/aria2/aria2/commit/37368130ca7de5491a75fd18a20c5c5cc641824a
52,[Issue] Credentials are leaked via logs when using --debug for deploy and up.,https://github.com/Azure/azure-dev/issues/1264,https://github.com/Azure/azure-dev/commit/7b3330449400afd25b9b7eb834f4581a3cf5c3d3
53,Solve Logging Sensitive Information,https://github.com/RyanM-Ferreira/KomuniUI-API/pull/3,https://github.com/RyanM-Ferreira/KomuniUI-API/pull/3/commits/54ee5488549bd57b547af46feb675a530c251e7a
54,Hide sensitive information in production,https://github.com/wallabag/wallabag/pull/8291,https://github.com/wallabag/wallabag/pull/8291/commits/c4f615e711c32b80fe98942da36bb00690c9db2f + https://github.com/wallabag/wallabag/pull/8291/commits/5db128a071c94195d36562845f2bf1dc381f2a77
55,fix(gorgone): Sensitive Credentials Exposed in Logs,https://github.com/centreon/centreon-collect/pull/2441,https://github.com/centreon/centreon-collect/pull/2441/files
56,feature: Set sensitive variables,https://github.com/sparkfabrik/terraform-google-gcp-cloud-native-drupal-resources/pull/59,https://github.com/sparkfabrik/terraform-google-gcp-cloud-native-drupal-resources/pull/59/commits/cdffbcd052718c31d54501ee1d76ab1d061cd651
57,"[Precogs Alert] Sensitive Data Exposure detected (CWE-200, Risk: Medium)",https://github.com/sameer6pre/orbit-app/pull/26,https://github.com/sameer6pre/orbit-app/pull/26/commits/462522aaded469b93ee1aa819de57b431d89fc1e
58,hide sensitive information in log output,https://github.com/Adrjnk/task2/pull/3/commits/40307d4e13771262135c90e4bee3636bd5be4038,https://github.com/Adrjnk/task2/pull/3/commits/40307d4e13771262135c90e4bee3636bd5be4038
59,Remove-logs-that-contain-sensitive-information,https://github.com/Salesfactory/gpt-rag-frontend/pull/458/commits/7eb211dc6b311c9c9e0481fd43a9f93c573060e1,https://github.com/Salesfactory/gpt-rag-frontend/pull/458/commits/7eb211dc6b311c9c9e0481fd43a9f93c573060e1
60,Reduce logging level to stop dumping sensitive information,https://github.com/mesos/chronos/pull/899,https://github.com/mesos/chronos/pull/899
61,Mask sensitive data in log output to prevent exposure,https://github.com/thingersoft/code-interpreter/pull/41,https://github.com/thingersoft/code-interpreter/pull/41
62,fix/wording-leak-error-message,https://github.com/TechMentors-LLC/charity_hub/pull/19,https://github.com/TechMentors-LLC/charity_hub/pull/19
63,[GFTCodeFixer]: Update on src/main/java/com/bank/payments/service/impl/PaymentServiceImpl.java,https://github.com/adpigft/payments-demo/pull/9,https://github.com/adpigft/payments-demo/pull/9
64,"Refactor: Remove legacy CLI and GUI, enhance OCR and converter security",https://github.com/Beaulewis1977/quick_ocr_doc_converter/pull/24,https://github.com/Beaulewis1977/quick_ocr_doc_converter/pull/24
65,Security: Fix critical secret management vulnerabilities and implement comprehensive security measures,https://github.com/arpanhub/Hard-Backend/pull/1,https://github.com/arpanhub/Hard-Backend/pull/1
66,Fix three bugs in the codebase,https://github.com/razzacktiger/Customer-Support-Agent-/pull/1,https://github.com/razzacktiger/Customer-Support-Agent-/pull/1
67,Pensar - auto fix for Debug Mode Information Disclosure in API Client Configuration,https://github.com/joshkotrous/hatchet/pull/110,https://github.com/joshkotrous/hatchet/pull/110
68,Code Remediation: Security and Quality Improvements,https://github.com/VinodKumarKP/devops_agent_streamlit_app/pull/10,https://github.com/VinodKumarKP/devops_agent_streamlit_app/pull/10
69,"Sensitive service configuration values should be decrypted when processing the Ambari agent command script, if enabled",https://issues.apache.org/jira/browse/AMBARI-24894,https://github.com/apache/ambari/pull/2613
70,Prevent Sensitive Data Exposure in Logging,https://github.com/thingersoft/code-interpreter/pull/39,https://github.com/thingersoft/code-interpreter/pull/39
71,Remove sensitive debug logs,https://github.com/ilhanwon/Mobile-Inspection-Report-Web-App-4176/pull/1,https://github.com/ilhanwon/Mobile-Inspection-Report-Web-App-4176/pull/1
72,filter sensitive attributes in logs,https://github.com/rails/rails/pull/55251,https://github.com/rails/rails/pull/55251
73,Potential fix for code scanning alert no. 1: Clear-text logging of sensitive information,https://github.com/Humpnduati/25e---PyProgramming/pull/5,https://github.com/Humpnduati/25e---PyProgramming/pull/5
74,Use logging and mask token in config,https://github.com/barkoszloy-afk/telegram-bot-project-1/pull/27,https://github.com/barkoszloy-afk/telegram-bot-project-1/pull/27
75,Fix: Refactor logging and address potential credential leakage,https://github.com/lfreleng-actions/nexus-publish-action/pull/10,https://github.com/lfreleng-actions/nexus-publish-action/pull/10
76,System Information Leak vulnerability fix (powered by Mobb),https://github.com/tomer-mobb/Marinus/pull/13,https://github.com/tomer-mobb/Marinus/pull/13
77,Redact sensitive information in log files at release workflow,https://github.com/apache/spark/pull/51102,
78,SENSITIVE_HEADERS list is hardcoded,https://issues.apache.org/jira/browse/CXF-9082,https://github.com/apache/cxf/pull/2150
79,Kinit with keytab should not display the keytab file's full path in any logs,https://issues.apache.org/jira/browse/HADOOP-17587,https://issues.apache.org/jira/browse/HADOOP-17587
80,Redact sensitive information from SparkSubmit console output,https://issues.apache.org/jira/browse/SPARK-19720,https://github.com/apache/spark/pull/17047 + https://github.com/apache/spark/pull/18765 + https://github.com/apache/spark/pull/18802
81,jdbc URL can contain sensitive information that should not be logged,https://issues.apache.org/jira/browse/HIVE-20796,https://issues.apache.org/jira/browse/HIVE-20796
82,Hiding sensitive information in request and response logs via configuration,https://issues.apache.org/jira/browse/CXF-8099,https://github.com/apache/cxf/pull/681
83,Don't print sensitive information in logs by default,https://issues.apache.org/jira/browse/IGNITE-13929,https://github.com/apache/ignite/pull/9611
84,Fix the problem that SwaggerProducerOperation catchs business exceptions and prints logs may reveal sensitive informations.,https://issues.apache.org/jira/browse/SCB-2108,https://github.com/apache/servicecomb-java-chassis/pull/2021
85,OAuth's HttpAccessTokenRetriever potentially leaks secrets in logging,https://issues.apache.org/jira/browse/KAFKA-14623,https://github.com/apache/kafka/pull/13119 + https://github.com/apache/kafka/pull/13166
86,Add support for storing credentials in Azure Keyvault,https://issues.apache.org/jira/browse/NIFI-8279,https://github.com/apache/nifi/pull/4863
87,broker may expose uncommitted data to a consumer,https://issues.apache.org/jira/browse/KAFKA-698,https://issues.apache.org/jira/browse/KAFKA-698
88,Operation Logging still leaks the log4j Appenders,https://github.com/apache/hive/pull/1849 + https://github.com/apache/hive/pull/2432,
89,Sensitive external values exposed in debug logs when using external config supplier,https://issues.apache.org/jira/browse/BROOKLYN-269,https://github.com/apache/brooklyn-server/pull/659
90,Need a way to flag sensitive information in Config,https://issues.apache.org/jira/browse/SAMZA-589,https://issues.apache.org/jira/browse/SAMZA-589
91,Do not dump data on error in TextExportMapper by default,https://issues.apache.org/jira/browse/SQOOP-2651,https://issues.apache.org/jira/browse/SQOOP-2651
92,fix: redact passwords in logs,https://github.com/AlexxIT/go2rtc/pull/1219,https://github.com/AlexxIT/go2rtc/pull/1219
93,Security Vulnerability in PyFlink Logging Mechanism (PythonEnvUtils.java),https://issues.apache.org/jira/browse/FLINK-38035,https://github.com/apache/flink/pull/26794 + https://github.com/apache/flink/pull/26803 + https://github.com/apache/flink/pull/26841
94,Namenode WebUI prints sensitive information on Token Expiry,https://issues.apache.org/jira/browse/HDFS-16563,https://github.com/apache/hadoop/pull/4241
95,Datadog API Key exposed in Flink JobManager logs,https://issues.apache.org/jira/browse/FLINK-20055,https://github.com/apache/flink/pull/13995
96,Prevent sensitive request headers from being logged in debug level + debug: redact sensitive info from debug logs,https://github.com/envoyproxy/envoy/issues/9652 + https://github.com/envoyproxy/envoy/pull/27579,https://github.com/envoyproxy/envoy/pull/27579
97,kuberuntime_manager: don't log entire container spec,https://github.com/kubernetes/kubernetes/pull/132139,https://github.com/kubernetes/kubernetes/pull/132139
98,"Recovery middleware leaks sensitive cookies, tokens, and headers into logs + Don't log requests",https://github.com/gin-gonic/gin/issues/1331?utm_source=chatgpt.com + https://github.com/gin-gonic/gin/pull/1370,https://github.com/gin-gonic/gin/pull/1370
99,MaskSensitiveHelper does not mask multi-line content,https://issues.apache.org/jira/browse/CXF-9066,https://github.com/apache/cxf/pull/2105
100,SQL text in server logs on errors,https://issues.apache.org/jira/browse/IGNITE-23284,https://github.com/apache/ignite-3/pull/4943
101,Pre hashed passwords in CQL,https://issues.apache.org/jira/browse/CASSANDRA-17334,https://github.com/apache/cassandra/pull/1478
